snt_id,sdr,sdr_i,si-snr,si-snr_i
6330311066473698535_00011_0.53084_6339356267468615354_00010_-0.53084.wav,5.875108242034912,5.73826265335083,5.145989418029785,5.130548000335693
6330311066473698535_00011_2.6743_6343252661930009508_00067_-2.6743.wav,7.562101364135742,7.5203657150268555,6.948955059051514,7.0612077713012695
6330311066473698535_00011_2.9639_6349847154585871175_00027_-2.9639.wav,7.396732330322266,7.204368591308594,5.91325569152832,5.965600967407227
6330311066473698535_00011_3.0079_6357353898425821669_00030_-3.0079.wav,5.961139678955078,5.755396366119385,5.301641464233398,5.374938011169434
6330311066473698535_00011_3.2108_6347667029186417939_00011_-3.2108.wav,5.537114143371582,5.205733299255371,4.723121643066406,4.619070053100586
6330311066473698535_00011_4.8636_6377365439548029922_00022_-4.8636.wav,8.359419822692871,7.857062816619873,7.918808937072754,7.5843634605407715
6330311066473698535_00011_4.9336_6339356267468615354_00011_-4.9336.wav,5.98918342590332,5.871124267578125,4.7753777503967285,4.983525276184082
6331733559511729306_00026_0.20614_6341949998218671745_00028_-0.20614.wav,9.296558380126953,9.282824516296387,8.298128128051758,8.35106372833252
6331733559511729306_00026_0.45253_6385216210398859008_00009_-0.45253.wav,5.554756164550781,5.465451717376709,4.353321075439453,4.4087443351745605
6331733559511729306_00026_2.2157_6368525108362665063_00017_-2.2157.wav,3.483262538909912,3.026808738708496,1.2559958696365356,1.3385525941848755
6331733559511729306_00026_4.3736_6390672966217932513_00052_-4.3736.wav,5.962162017822266,5.655416488647461,2.113734245300293,2.18831729888916
6331733559511729306_00026_4.4676_6343252661930009508_00092_-4.4676.wav,2.0285086631774902,1.7706413269042969,-0.5634920597076416,-0.7276875972747803
6331733559511729306_00026_4.9525_6357714675678689620_00002_-4.9525.wav,5.268368244171143,5.2606282234191895,0.09565448760986328,0.2170710563659668
6332062124509813446_00018_0.76034_6350152526760616781_00013_-0.76034.wav,3.313141107559204,2.9413647651672363,2.2273309230804443,1.9744993448257446
6332062124509813446_00018_2.6636_6332491191742745853_00014_-2.6636.wav,4.550477981567383,4.530909538269043,3.430070400238037,3.54231858253479
6332062124509813446_00018_2.8808_6367373198133943465_00073_-2.8808.wav,7.876599311828613,7.84817361831665,7.243303298950195,7.488888740539551
6332062124509813446_00018_3.3175_6341242617105082637_00022_-3.3175.wav,8.473166465759277,7.957810401916504,7.155243873596191,7.0012359619140625
6332062124509813446_00018_3.4969_6384364518253565937_00011_-3.4969.wav,5.169569969177246,5.272375106811523,4.404127597808838,4.657959938049316
6332062124509813446_00018_3.5832_6377794506780964609_00004_-3.5832.wav,7.170662879943848,6.989816665649414,6.154559135437012,6.101218223571777
6332062124509813446_00018_3.6467_6348780284709539256_00016_-3.6467.wav,2.496734619140625,2.292591094970703,1.3480298519134521,1.3352279663085938
6332062124509813446_00018_3.6871_6344737002497020519_00005_-3.6871.wav,6.025468826293945,5.684322357177734,3.995950698852539,3.9490768909454346
6332062124509813446_00018_4.1422_6355459817848285433_00004_-4.1422.wav,6.242458343505859,5.633418083190918,5.528863430023193,5.737371444702148
6332062124509813446_00018_4.164_6347667029186417939_00030_-4.164.wav,4.6774773597717285,4.597909450531006,3.651317596435547,3.6681432723999023
6332062124509813446_00018_4.9512_6354369755148493407_00019_-4.9512.wav,6.853089332580566,5.70548677444458,5.8249616622924805,5.121755599975586
6332062124509813446_00018_4.9649_6340871531930708209_00031_-4.9649.wav,4.3541412353515625,4.062643051147461,1.7863445281982422,1.8623733520507812
